date,score
2020/01/01,-0.3077466087191745
2020/01/05,-0.3068203465398679
2020/01/06,-0.3083500328217941
2020/01/07,-0.30084308679892807
2020/01/08,-0.29392877340522444
2020/01/09,-0.2855255690892633
2020/01/10,-0.29525918245453137
2020/01/11,-0.3034351524511602
2020/01/12,-0.30559279352516877
2020/01/13,-0.3172656942852024
2020/01/14,-0.3367353917727227
2020/01/15,-0.3487505183542835
2020/01/16,-0.3747565289151501
2020/01/17,-0.40092483269611184
2020/01/18,-0.4137746333192423
2020/01/19,-0.41663525481664393
2020/01/20,-0.4377944509319436
2020/01/21,-0.45886377759004526
2020/01/22,-0.47563587786416367
2020/01/23,-0.5010941296070587
2020/01/24,-0.5130312916852454
2020/01/25,-0.5166882686057694
2020/01/26,-0.52351257015729
2020/01/27,-0.5292257230706972
2020/01/28,-0.5183067629365111
2020/01/29,-0.40275344523198414
2020/01/30,-0.368713020542188
2020/01/31,-0.3208671387187658
