date,score
2020/10/01,-0.09722524596347897
2020/10/02,-0.09708664582487883
2020/10/06,-0.10111720207018232
2020/10/07,-0.11063986885526877
2020/10/08,-0.11707288681457868
2020/10/09,-0.11726419340551379
2020/10/11,-0.11682034965787542
2020/10/12,-0.11303567021529505
2020/10/13,-0.10791059201512423
2020/10/14,-0.10743623166899255
2020/10/15,-0.11814039097362294
2020/10/16,-0.12322652353070364
2020/10/18,-0.1245842889630828
2020/10/19,-0.1242540405934253
2020/10/20,-0.10038511469409217
2020/10/21,-0.11260775796449027
2020/10/22,-0.13958907376969687
2020/10/23,-0.1629749478045384
2020/10/24,-0.16285591423354578
2020/10/25,-0.16045777511270565
2020/10/26,-0.16608668652131245
2020/10/27,-0.08921674789913596
2020/10/28,0.031176731963493222
2020/10/29,-0.041407864854856806
2020/10/30,-0.37128372084238276
2020/10/31,-0.4854384174386408
