date,score
2020/09/01,-0.2887078665270593
2020/09/02,-0.2866970151671876
2020/09/03,-0.28608216568722117
2020/09/04,-0.29252468572342505
2020/09/05,-0.29225709058076077
2020/09/06,-0.3004548055710777
2020/09/07,-0.32681846281313653
2020/09/08,-0.3086335432900136
2020/09/09,-0.2983949847303604
2020/09/10,-0.28719041524396427
2020/09/11,-0.2773866542137921
2020/09/12,-0.27499385840613955
2020/09/13,-0.2709088352295707
2020/09/14,-0.27265256476419814
2020/09/15,-0.2760424483849461
2020/09/16,-0.2825488793611526
2020/09/17,-0.274135471586395
2020/09/18,-0.266631535528526
2020/09/19,-0.26168860583612225
2020/09/20,-0.2579867759202389
2020/09/21,-0.255114567495275
2020/09/22,-0.2487167011661283
2020/09/23,-0.21578029070042445
2020/09/24,-0.19640641655028807
2020/09/25,-0.1789357410357838
2020/09/26,-0.15578696222348992
2020/09/27,-0.14123628383552325
2020/09/28,-0.09322800589353894
2020/09/29,-0.11841238270341464
2020/09/30,-0.10900268420090858
