date,score
2020/07/01,-0.17767368657869298
2020/07/02,-0.1041951927508193
2020/07/05,-0.2153524193870556
2020/07/06,-0.2224695514319621
2020/07/07,-0.24401784836056115
2020/07/08,-0.21728521218626157
2020/07/09,-0.19657636776123721
2020/07/10,-0.18335306904197549
2020/07/12,-0.17764835236584878
2020/07/13,-0.1570133514264555
2020/07/14,-0.14788985165455112
2020/07/15,-0.11865210439888896
2020/07/16,-0.09834981562917927
2020/07/17,-0.10333750029463999
2020/07/19,-0.10087667922797498
2020/07/20,-0.10524039694869355
2020/07/21,-0.08852559252443472
2020/07/22,-0.13543594307407847
2020/07/23,-0.19095402193102082
2020/07/24,-0.26237876647773
2020/07/25,-0.26206429255875363
2020/07/26,-0.28146024668497216
2020/07/27,-0.31937539546707155
2020/07/28,-0.3034409127844792
2020/07/29,-0.30633707189372955
2020/07/30,-0.20961767117936753
2020/07/31,-0.14408743096773027
