date,score
2020/11/01,-0.35937945783666864
2020/11/02,-0.3632901374362469
2020/11/04,-0.3649184928020563
2020/11/05,-0.3668943003829807
2020/11/06,-0.36745886268900707
2020/11/07,-0.3664861525848417
2020/11/08,-0.3662148689843154
2020/11/09,-0.36549144604957867
2020/11/10,-0.36415963567396376
2020/11/11,-0.3700706295144323
2020/11/12,-0.3709443057849498
2020/11/13,-0.38173557933545194
2020/11/14,-0.38486856817021753
2020/11/15,-0.3769718228918321
2020/11/16,-0.37897688068136204
2020/11/17,-0.35542958381364936
2020/11/18,-0.32225477471247294
2020/11/19,-0.294251255964164
2020/11/20,-0.2842782233664026
2020/11/21,-0.31055041560790353
2020/11/22,-0.30366049158240976
2020/11/23,-0.3056622070502344
2020/11/24,-0.3143927206898837
2020/11/25,-0.3168001871934245
2020/11/26,-0.3374036012652358
2020/11/27,-0.33125733046543404
2020/11/28,-0.33818155399494326
2020/11/29,-0.32923758924320895
2020/11/30,-0.3116881919751349
2020/12/01,-0.31047254188581214
2020/12/02,-0.3860367012271793
2020/12/03,-0.44516205494120453
2020/12/04,-0.45284930265582984
2020/12/05,-0.4441173961164458
2020/12/06,-0.4480137688206131
2020/12/07,-0.468761750042007
2020/12/08,-0.44663521533115985
2020/12/09,-0.42980574565293456
2020/12/10,-0.4390368745834724
2020/12/11,-0.35889932325942586
2020/12/12,-0.3483725564993917
