date,score
2020/02/01,-0.17170695559960142
2020/02/02,-0.16212791609429508
2020/02/03,-0.15175999362239234
2020/02/04,-0.15920330842168537
2020/02/05,-0.18996010433566846
2020/02/06,-0.17828373179851842
2020/02/07,-0.23740424065622442
2020/02/08,-0.29811465017938116
2020/02/09,-0.3032729440482899
2020/02/10,-0.32718922930561617
2020/02/11,-0.3473297445113632
2020/02/12,-0.35362724492030945
2020/02/13,-0.3747723673005894
2020/02/14,-0.43368742225442897
2020/02/15,-0.43399026608632796
2020/02/16,-0.44118475443003746
2020/02/17,-0.4217638317662978
2020/02/18,-0.44198852807839045
2020/02/19,-0.47895995220258236
2020/02/20,-0.4897341803372352
2020/02/21,-0.49471870733020584
2020/02/23,-0.5266461122141146
2020/02/24,-0.5761096156852379
2020/02/25,-0.5483835641493415
2020/02/26,-0.44432366487498026
2020/02/27,-0.5273987693882077
2020/02/28,-0.8052170528107179
2020/02/29,-0.7394916777831706
