date,score
2020/06/01,-0.24189463371369557
2020/06/02,-0.23235710124121317
2020/06/03,-0.22704891012289447
2020/06/04,-0.20706928878837264
2020/06/05,-0.2063107152985031
2020/06/06,-0.22444844559630395
2020/06/07,-0.2398456824130793
2020/06/08,-0.2647187105531635
2020/06/09,-0.27285374302445403
2020/06/10,-0.27771356835615835
2020/06/11,-0.3393289564869943
2020/06/12,-0.39558861251999483
2020/06/13,-0.38096224687825925
2020/06/14,-0.3787029175455201
2020/06/15,-0.3865992855019862
2020/06/16,-0.37758818401027994
2020/06/17,-0.3918432657868279
2020/06/18,-0.39422194018803036
2020/06/19,-0.385158633932466
2020/06/21,-0.4661386156249607
2020/06/22,-0.49243168210477317
2020/06/23,-0.4595820127180923
2020/06/24,-0.49530143171660956
2020/06/25,-0.4789496456245136
2020/06/26,-0.4601440349091059
2020/06/27,-0.4825765829053159
2020/06/28,-0.4927467867017314
2020/06/29,-0.5739124086221785
2020/06/30,-0.4840530128558757
