date,score
2020/08/01,-0.3307393192002834
2020/08/02,-0.3304368194579528
2020/08/03,-0.3256824989621513
2020/08/04,-0.3300727628384252
2020/08/05,-0.3486398573271268
2020/08/06,-0.3334780860870917
2020/08/07,-0.34259945876765224
2020/08/08,-0.37659661418860346
2020/08/09,-0.3825228370347553
2020/08/10,-0.3712567690643022
2020/08/11,-0.36570370614384695
2020/08/12,-0.36434061621292657
2020/08/13,-0.37600645564832264
2020/08/14,-0.38573447919895903
2020/08/15,-0.3771948410055743
2020/08/16,-0.3777048067781709
2020/08/17,-0.38776520239025314
2020/08/18,-0.3919896930298052
2020/08/19,-0.39995568244194707
2020/08/20,-0.40993614302427905
2020/08/21,-0.4011047041757389
2020/08/22,-0.388139121341708
2020/08/23,-0.34297317187066984
2020/08/24,-0.3720001609107024
2020/08/25,-0.3457529604858598
2020/08/26,-0.3089432912824999
2020/08/27,-0.39830673339420747
2020/08/28,-0.45678521694671065
2020/08/29,-0.5243580963432585
2020/08/30,-0.5885961523388636
2020/08/31,-1.0547454606815956
