date,score
2020/01/01,-0.48607457451429825
2020/01/05,-0.48472473646219993
2020/01/06,-0.48830120063748206
2020/01/07,-0.48420468641340997
2020/01/08,-0.47667431632681717
2020/01/09,-0.4808686718110922
2020/01/10,-0.4998249143735547
2020/01/11,-0.5065689525606395
2020/01/12,-0.5142883250639454
2020/01/13,-0.5151541813344295
2020/01/14,-0.5278787100115324
2020/01/15,-0.5483099294187443
2020/01/16,-0.5656553366555593
2020/01/17,-0.573941854289552
2020/01/18,-0.6045796794601754
2020/01/19,-0.5995472666819062
2020/01/20,-0.6437064615415707
2020/01/21,-0.6678052279400419
2020/01/22,-0.6719029900871075
2020/01/23,-0.7009498945054309
2020/01/24,-0.7203491234972835
2020/01/25,-0.7329960836105955
2020/01/26,-0.7388461170873094
2020/01/27,-0.7451484819496879
2020/01/28,-0.6914968862918792
2020/01/29,-0.5279181107531096
2020/01/30,-0.4909621018358448
2020/01/31,-0.4480195324421949
