date,score
2020/07/01,-0.3913600294127155
2020/07/02,-0.31376288399693436
2020/07/05,-0.4343902484867759
2020/07/06,-0.44221992039426133
2020/07/07,-0.4610089741943344
2020/07/08,-0.44592796374415666
2020/07/09,-0.43826640254843746
2020/07/10,-0.4318543358739223
2020/07/12,-0.4160048075588471
2020/07/13,-0.3850718395820565
2020/07/14,-0.3803702870745151
2020/07/15,-0.3562050313599016
2020/07/16,-0.31606266556971885
2020/07/17,-0.3335547425012551
2020/07/19,-0.3241693697085085
2020/07/20,-0.330936619584919
2020/07/21,-0.29150234054178703
2020/07/22,-0.3533413377106718
2020/07/23,-0.44679618625859485
2020/07/24,-0.5422531381959567
2020/07/25,-0.5505177333087689
2020/07/26,-0.5336187076293148
2020/07/27,-0.583187593861664
2020/07/28,-0.570735634460065
2020/07/29,-0.5895817807947603
2020/07/30,-0.49140485034483145
2020/07/31,-0.37722944567016076
