date,score
2020/05/01,-0.29130012497019686
2020/05/04,-0.29122635945687125
2020/05/05,-0.2976261962574431
2020/05/06,-0.29015732134028
2020/05/07,-0.30117917040001946
2020/05/08,-0.313247584474309
2020/05/09,-0.3163814146740687
2020/05/10,-0.3225508944594109
2020/05/11,-0.32100280157430927
2020/05/12,-0.30798331949354707
2020/05/13,-0.31574120656038157
2020/05/14,-0.28122234402194163
2020/05/15,-0.3083253827615227
2020/05/16,-0.28739912353219343
2020/05/17,-0.27645198736682475
2020/05/18,-0.2674007517367365
2020/05/19,-0.23134749601915974
2020/05/20,-0.22943790133982198
2020/05/21,-0.21444898522399325
2020/05/22,-0.2250485176668466
2020/05/23,-0.21973993194456742
2020/05/24,-0.2078089493152675
2020/05/25,-0.1789107257976413
2020/05/26,-0.13869610218758766
2020/05/27,-0.09558168989938892
2020/05/28,-0.1628807970295571
2020/05/29,-0.5021712679612329
2020/05/30,-0.48774568435442756
2020/05/31,-0.3378703423548885
