date,score
2020/10/01,-0.38847301334080575
2020/10/02,-0.3855000431118468
2020/10/06,-0.40472882731958915
2020/10/07,-0.3942249197790714
2020/10/08,-0.3908583833268848
2020/10/09,-0.40082507685910673
2020/10/11,-0.39652645675058623
2020/10/12,-0.41996207839621746
2020/10/13,-0.4025257794951657
2020/10/14,-0.403250228020636
2020/10/15,-0.41667010651854
2020/10/16,-0.4255889025690759
2020/10/18,-0.4265947578608095
2020/10/19,-0.4485140184927393
2020/10/20,-0.38457040715151114
2020/10/21,-0.4043062470492977
2020/10/22,-0.4479290875113433
2020/10/23,-0.4923635757909998
2020/10/24,-0.4721351996664918
2020/10/25,-0.478146464871455
2020/10/26,-0.48410369260097835
2020/10/27,-0.37410449635960796
2020/10/28,-0.3180363176145469
2020/10/29,-0.39665409437926863
2020/10/30,-0.6673860823958291
2020/10/31,-0.7054648769041258
