date,score
2020/09/01,-0.5136608114674254
2020/09/02,-0.5378143767714504
2020/09/03,-0.580143477522908
2020/09/04,-0.5716294332687312
2020/09/05,-0.5714358815981732
2020/09/07,-0.5612362714333204
2020/09/08,-0.6056628455437097
2020/09/09,-0.5960115512310035
2020/09/10,-0.5627596552477566
2020/09/11,-0.5400497977200165
2020/09/12,-0.5433970162900831
2020/09/13,-0.5454377895704662
2020/09/14,-0.5369326128223324
2020/09/15,-0.5540346991396669
2020/09/16,-0.5861172102762517
2020/09/17,-0.5972067132602741
2020/09/18,-0.579596594071378
2020/09/19,-0.5720125357605743
2020/09/20,-0.5827014854247021
2020/09/21,-0.5905481815981366
2020/09/22,-0.5657661247156411
2020/09/23,-0.4706828819904061
2020/09/24,-0.40016534078886035
2020/09/25,-0.4092356433829128
2020/09/26,-0.4214745630823716
2020/09/27,-0.37610779247260095
2020/09/28,-0.23174507472493702
2020/09/29,-0.18334873219359374
