date,score
2020/04/01,-0.4651822071930314
2020/04/02,-0.4478897288544887
2020/04/03,-0.44333568378193977
2020/04/04,-0.4355772423489587
2020/04/05,-0.4388552106961241
2020/04/06,-0.4101147381011957
2020/04/07,-0.40195976475597484
2020/04/08,-0.40234910562232856
2020/04/09,-0.3757769689351447
2020/04/10,-0.37327024156434885
2020/04/11,-0.37693199788989384
2020/04/12,-0.3790807285115783
2020/04/13,-0.394971581943478
2020/04/14,-0.4139624733087532
2020/04/15,-0.41610356886933436
2020/04/16,-0.4038531262225491
2020/04/17,-0.380830016963663
2020/04/18,-0.37852877473004226
2020/04/19,-0.3987802827230822
2020/04/20,-0.43250833440252656
2020/04/21,-0.46394496146453146
2020/04/22,-0.44150503073783964
2020/04/23,-0.4507610537105811
2020/04/24,-0.45543071076177977
2020/04/25,-0.46831575453918317
2020/04/26,-0.46679022063411907
2020/04/27,-0.530874607083495
2020/04/28,-0.6229742387295439
2020/04/29,-0.488500527833495
2020/04/30,-0.42881515325534747
