date,score
2020/07/01,1.1519498052621508
2020/07/02,1.1443744725034475
2020/07/03,1.1503819882520336
2020/07/04,1.1465629944579399
2020/07/05,1.143598910109355
2020/07/06,1.1464634751844
2020/07/07,1.1400702281320947
2020/07/08,1.1453247076162858
2020/07/09,1.1266970347837353
2020/07/10,1.1173074973262795
2020/07/11,1.094487865387853
2020/07/12,1.097342665904507
2020/07/13,1.096552762556246
2020/07/14,1.0900838080155335
2020/07/15,1.0727365260844146
2020/07/16,1.0696826551101637
2020/07/17,1.0758187246941013
2020/07/18,1.089607656381436
2020/07/19,1.101296710262411
2020/07/20,1.0864291718078893
2020/07/21,1.0797202876175302
2020/07/22,1.0975662800382584
2020/07/23,1.1434478173757168
2020/07/24,1.1506628112702113
2020/07/25,1.154896953913479
2020/07/26,1.175849427191202
2020/07/27,1.2053268697663577
2020/07/28,1.1884979710907935
2020/07/29,1.2056672010118854
2020/07/30,1.083371833161136
2020/07/31,0.9113846101668321
