date,score
2020/03/01,0.07149721350958678
2020/03/02,0.0751103595069857
2020/03/03,0.06581630144951366
2020/03/04,0.063517679282176
2020/03/05,0.037368367660795015
2020/03/06,0.021215538170131935
2020/03/07,0.012642116054788812
2020/03/08,0.012223516625000907
2020/03/09,0.006890954910003342
2020/03/10,0.0037088581497527295
2020/03/11,-0.0011627909132811887
2020/03/12,-0.0048375422038246935
2020/03/13,0.00038510888872377323
2020/03/14,0.013594176687737533
2020/03/15,0.024067637069562567
2020/03/16,0.04176302616431877
2020/03/17,0.04306432836975236
2020/03/18,0.04712221386700027
2020/03/19,0.060843450219413564
2020/03/20,0.1187679568004504
2020/03/21,0.14681800623176725
2020/03/22,0.15939145681406952
2020/03/23,0.1904321663025577
2020/03/24,0.29658398373786077
2020/03/25,0.388689444494693
2020/03/26,0.4685218585429862
2020/03/27,0.4251645371116341
2020/03/28,0.28889858760912274
2020/03/29,0.19764099984803887
2020/03/30,0.12118934403007037
2020/03/31,0.12135444023289023
