date,score
2020/06/01,2.365136271700961
2020/06/02,2.368521051656644
2020/06/03,2.356288413486608
2020/06/04,2.3796702678825956
2020/06/05,2.3762572915489457
2020/06/06,2.3599512855245184
2020/06/07,2.3513294880660243
2020/06/08,2.34454862276612
2020/06/09,2.3695410660895155
2020/06/10,2.3531397674531336
2020/06/11,2.350562083704786
2020/06/12,2.3170480605992276
2020/06/13,2.293014829086859
2020/06/14,2.2784869435302264
2020/06/15,2.2725230337969853
2020/06/16,2.2205268999243026
2020/06/17,2.1964246094243713
2020/06/18,2.188583554206771
2020/06/19,2.2264395289456616
2020/06/20,2.2198980319727095
2020/06/21,2.235256303670487
2020/06/22,2.246615864858268
2020/06/23,2.209775304774716
2020/06/24,2.1271033295499513
2020/06/25,2.0763937102883
2020/06/26,2.0173357264234095
2020/06/27,1.900240604260911
2020/06/28,1.8102453915081085
2020/06/29,1.5159032885478065
2020/06/30,1.261626565329301
